jumlah cluster: 3

cluster 1 
jumlah anggota: 83 
------------------
44, C, Y, Y, Y, L, T, G, T, T, T, WL, T, WL, Y, R
49, B, Y, Y, Y, I, C, K, Y, Y, Y, WL, Y, WL, Y, R
50, A, Y, Y, Y, L, T, K, Y, Y, Y, WL, Y, WL, Y, Q
72, A, T, Y, Y, I, T, K, Y, Y, Y, WL, Y, WL, Y, R
104, B, Y, Y, Y, I, T, G, Y, Y, Y, WL, Y, WL, Y, S
23, B, Y, Y, Y, I, T, G, Y, Y, Y, WL, Y, WM, T, Q
centroid: ['B', 'Y', 'Y', 'Y', 'L', 'T', 'G', 'Y', 'Y', 'Y', 'WL', 'Y', 'WL', 'Y', 'R']
------------------

cluster 2 
jumlah anggota: 1 
------------------
84, B, Y, T, Y, I, C, G, T, T, T, WL, T, WL, Y, S
centroid: ['B', 'Y', 'T', 'Y', 'I', 'C', 'G', 'T', 'T', 'T', 'WL', 'T', 'WL', 'Y', 'S']
------------------

cluster 3 
jumlah anggota: 20 
------------------
61, A, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, S
57, A, Y, Y, Y, L, T, G, Y, Y, Y, WM, Y, WM, Y, P
73, B, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, R
90, A, Y, Y, Y, L, T, G, Y, Y, T, WM, Y, WL, Y, Q
98, A, T, Y, Y, I, C, K, T, Y, Y, WM, T, WL, T, R
10, B, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, S
102, B, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WM, Y, S
97, A, Y, Y, Y, I, C, K, Y, Y, Y, WM, Y, WL, T, R
87, A, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, R
83, A, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WM, Y, S
74, A, Y, Y, Y, I, C, K, Y, Y, Y, WM, Y, WL, Y, S
5, B, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, P
16, B, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WM, Y, S
101, B, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WM, Y, S
56, A, Y, Y, Y, L, T, G, Y, Y, Y, WM, Y, WM, Y, P
103, A, Y, Y, Y, L, C, G, Y, Y, Y, WL, Y, WL, Y, S
70, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, S
55, A, Y, Y, Y, L, T, G, Y, Y, Y, WM, Y, WM, Y, P
82, A, Y, Y, Y, I, C, G, Y, T, Y, WM, Y, WL, Y, S
54, B, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WM, Y, P
centroid: ['A', 'Y', 'Y', 'Y', 'I', 'C', 'G', 'Y', 'Y', 'Y', 'WM', 'Y', 'WL', 'Y', 'S']
------------------

